english,hindi
"Where did you get this?
","तुम कहाँ यह मिला?
"
"As in pay any tax.
","जैसे किसी कर के भुगतान में।
"
"He... he's that guy!
","यह... यह तो वही बंदा है!
"
"So let me guess.
","तो मुझे लगता है।
"
"He has regained consciousness
","वह होश में आ चुके हैं।
"
"You heard the president.
","तुमने प्रेज़ीडेंट की बात सुनी।
"
"Not in this office.
","इस कार्यालय में नहीं.
"
"He did something wrong?
","उसने कुछ गलत किया?
"
"You make this yourself?
","आप स्वयं इस बनाते हैं?
"
"Bring him around in circles.
","उसे हलकों में चारों ओर ले आओ.
"
"Hey, you all right?
","अरे, तुम सब सही है?
"
"Davina, I'm not asking.
","डेविना, मैं नहीं कह रहा हूँ।
"
"To get the device through..
","डिवाइस के माध्यम से प्राप्त करने के लिए ..
"
"We've decided to get married.
","हम शादी करने का फैसला कर लिया है।
"
"We've been through the records.
","हम रिकॉर्ड देख चुके हैं।
"
"Just look for an institution.
","एक संस्था के लिए Iook बस .
"
"Bring Mr. Asher here.
","यहाँ श्री आशेर लाओ.
"
"What are you saying?
","तुम क्या कह रहे हो?
"
"The kingdom is mine, now.
","ये राज्य अब मेरा है,
"
"Why should I help you?
","मैं क्यों तुम मदद करनी चाहिए?
"
"Cooper, we are lined up.
","Cooper, हम बस तैयार है.
"
"- Jacob I am...
","हूँ मैं याकूब ...
"
"It's an instant army.
","यह एक पल सेना है।
"
"What the hell's this, Vincent?
","यह क्या है, विन्सेंट?
"
"I thought you were ...
","मैं तुम्हें थे सोचा...
"
"All of these questions here.
","इन सब सवालों का यहाँ.
"
"And Christian and Sofus.
","और क्रिस्चियन और सोफुस.
"
"I'm trying to, sir.
","मैं करने के लिए सर की कोशिश कर रहा हूँ.
"
"A hundred fifty will work.
","$ 150 बहुत बढ़िया.
"
"That's what you're good at.
","इसी काम में अच्छे हो।
"
"I like who I am.
","मैं खुद को पसंद करता हूँ।
"
"- It's the same.
","- यह ऐसा ही है.
"
"- How's it going?
","- सब कैसा चल रहा है?
"
"You get what I mean?
","आप मेरा क्या मतलब है?
"
"Oracle's called everyone in.
","हर किसी के अंदर वहाँ!
"
"- ( grunting )
","- (घुरघुराना)
"
"It's not a good time.
","अभी ठीक समय नहीं है।
"
"This store smells nice.
","यह दुकान अच्छा बदबू आ रही है.
"
"- Thank you, sir.
","- धन्यवाद महोदय।
"
"- Least you had Anton.
","- कम से कम आप एंटोन था.
"
"I gotta get home.
","मैं घर जाना होगा
"
"Yeah, he's anything but helpful.
","हाँ, वह कुछ भी लेकिन उपयोगी है.
"
"-He found his son!
","-उसे उसका बेटा मिल गया!
"
"Pardon, my Lord, my Lady.
","माफ करना, मेरे प्रभु, मेरी महिला।
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम एन डी ईआर एम@ nkÖÖ 
"
"( groans ) FUCKING HELL.
","(कराहना) कमबख्त नरक.
"
"This is an unspeakable place.
","यह एक नर्क-तुल्य जगह है।
"
"God will not forget us.
","भगवान हमें नहीं भूलेगा.
"
"What are you doing?
","तुम क्या कर रहे हो?
"
"I think it's 15.
","मुझे लगता है कि 15 है.
"
"Keep your fucking hands down.
","कमबख्त अपने हाथ नीचे रखो.
"
"Why you running away, Weinselstein?
","आप Weinselstein, दूर चल रहा है क्यों?
"
"Come on, let's go home.
","चलो, चलो घर चलते हैं.
"
"I think it's malaria.
","मुझे लगता है यह मलेरिया है.
"
"WHO'S THAT, YOUR WIFE?
","डब्ल्यूएचओ अपनी पत्नी, 'है?
"
"- Where is he?
","-कहाँ है?
"
"Now think real hard, Doc.
","अब जरा जोर देकर सोचो, डॉक्.
"
"- How long, chef?
","चीयर्स।
"
"It is not a lie.
","यह एक झूठ नहीं है।
"
"Dr. Gottlieb and dr.
","डा. Gottlieb और डॉ.
"
"I won't cut you.
","मैं तुम्हें काट नहीं होंगे।
"
"- Are you charged?
","- क्या तुम चार्ज हो ?
"
"Of course you have fears.
","बेशक आपको आशंका है.
"
"- Three sisters, two brothers
","-तीन बहने, दो भाई
"
"No, it's not my fault.
","नहीं, यह मेरी गलती नहीं है.
"
"Don't condemn this Galilean.
","इस गलीली की निंदा मत करो.
"
"- It's my decision.
","- यह मेरा फैसला है.
"
"Get ready to deploy!
","तैनाती की तैयारी करो !
"
"Sister, I am coming.
","दीदी, मैं आ रहा हूँ।
"
"I'm Priya's brother Shiva!
","मैं प्रिया का भाई शिवा बोल रहा हूँ !
"
"THAT'S WHAT YOU SAID.
","कि तुम क्या कहा.
"
"So go ahead. Say it.
","आगे बढ़ो, यह कहना!
"
"Listen to me once.
","केवल एक बार मेरी बात सुनो.
"
"I can find it.
","मैं इसे पा सकते हैं.
"
"Vika, did you get that?
","Vika, आप मिला कि
"
"We should test it first.
","हम पहले यह परीक्षण करना चाहिए.
"
"- That would be impossible.
","- यह असंभव होगा.
"
"Then look for him!
","खोजो उसे!
"
"I need a bigger bed.
","मैं एक बड़ा बिस्तर की जरूरत है.
"
"- There's nothing here.
","- - यहाँ कुछ भी नहीं है। -
"
"We're out of time.
","हम समय से बाहर कर रहे हैं।
"
"I could not sleep.
","मैं सो नहीं सका.
"
"- Must be a dog.
","- एक कुत्ता होना चाहिए।
"
"I've already sent 5000
","मैं पहले से ही 5000 के लिए भेज दिया है
"
"You're that girl, aren't you?
","आप उस लड़की हैं, आप नहीं कर रहे हैं?
"
"I'm pulling my thumb off.
","मैं अपने अंगूठे से दूर खींच रहा हूँ.
"
"I wish you a son.
","मैं तुम्हें एक पुत्र की कामना करते हैं.
"
"Is this what you're into?
","दो आदमियों का संभोग दिखाने क्यों लाए? अब तुम यह करते हो?
"
"- Bobby, for Christ's sakes,
","- भगवान के लिए बॉबी,
"
"How do these work again?
","कैसे फिर से ये काम करते हो?
"
"I couldn't picture him.
","मैं उसकी तस्वीर नहीं ले सका.
"
"- It's alright, boys.
","- यह ठीक है, लड़कों.
"
"Who gave you another name.
","कौन हो तुम एक और नाम दिया है.
"
"It's not in the city.
","यह शहर में नहीं है.
"
"Don't leave me alone.
","मुझे अकेला मत छोड़ो।
"
"I'm obviously not wanted here.
","साफ़ है मेरी यहाँ ज़रूरत नहीं।
"
"- Go on in.
","अब ठीक है, धक्का
"
"Your number is on display.
","हुकुम यही नम्बर है.
"
"-""We can learn kung fu""?
","-""कुंग फ़ू सीख सकते हैं""?
"
"Gipsy, listen to me!
","जिप्सी, मेरी बात सुनो!
"
"We village elders still exist.
","हम गांव के बुजुर्ग अभी भी मौजूद हैं.
"
"This isn't a game, Vincent.
","विंसेंट, यह कौन है? किस बारे में बात कर रही है?
"
"- So Ivy League.
","- तो आइवी लीग।
"
"We've tracked them here.
","उनका पीछा करते यहाँ पहुँच गए।
"
"Eli, you all right?
","आप ठीक हैं ?
"
"We're under attack by squirrels.
","गिलहरियों ने हमला किया हुआ है।
"
"Proud of us all.
","हम सब की गर्व.
"
"- What's the use?
","- किससे बोलूं?
"
"They would've escaped too
","वे भी बच गया होता
"
"Should we be worried?
","हम चिंतित होना चाहिए?
"
"So you be saying.
","आप क्या कहते हैं...
"
"Klaus, aren't you team muscle?
","क्लाउस, आप टीम पेशी नहीं कर रहे हैं?
"
"I'm bringing him out.
","मैं उसे बाहर ला रहा हूँ.
"
"I don't wear nautical.
","मैं ऐसे कपड़े नहीं पहनता।
"
"But, sir, he wasn't.
","लेकिन, श्रीमान, वह नहीं था.
"
"Look at those we've conquered.
","हम पर विजय प्राप्त की है उन को देखो.
"
"What are you doing there?
","आप वहां क्या कर रहे हो?
"
"First day of panda training!
","पांडा प्रशिक्षण का पहला दिन!
"
"You sent the universe mail.
","ब्रह्मांड मेल आपने भेजी थी।
"
"Forest does not come back.
","वन वापस नहीं आया है.
"
"Are you ready for this?
","- आप इस के लिए तैयार हैं?
"
"[ SIREN BLARING ]
","[मोहिनी blaring]
"
"""Please don't go away now.""
","""कृपया अब दूर नहीं जाना है।""
"
"It's no big deal.
","यह कोई बड़ी बात नहीं है.
"
"Then, we must leave.
","तब तो हमें चलना चाहिए.
"
"Come on, open this shirt!
","इस कमीज खोलने, चलो!
"
"Thank you very much.
","आपको बहुत बहुत धन्यवाद!
"
"Where are we going?
","हम कहां जा रहे हैं?
"
"Don't mess the car up.
","ऊपर कार क्या गड़बड़ नहीं है.
"
"Some kid I have.
","कुछ ही बच्चे है मेरे.
"
"Nobody can but the saints.
","कोई भी नहीं केवल संतों को छोड़कर.
"
"Lachamma lost her hen...
","Lachamma lost her hen...
"
"So you agree with that?
","आप इससे सहमत हैं?
"
"That's why you're single?
","यही कारण है कि तुम अकेले हो रहा है?
"
"There's no time, Ram.
","कोई समय नहीं, राम नहीं है।
"
"Help me carry your master.
","मेरी मदद करो अपने स्वामी ले.
"
"What if I say No?
","मैं नहीं क्या कहना है?
"
"We still outnumber him.
","हम अब भी उसे संख्या से बढ़ना.
"
"The pride of Berk!
","बर्क का गौरव!
"
"I talked Christian into it.
","मैंने क्रिस्चियन को इस में फंसाया.
"
"[ WIND BLOWING ]
","[हवा बह]
"
"I love you. Kisses.
","मैंतुम्हेंप्यारकरताहूँ.
"
"Is ball in play?
","खेल में गेंद है?
"
"Get in the queue.
","कतार में जाओ।
"
"All the very best.
","धन्यवाद। शुभकामनाएँ।
"
"His computer, his emails?
","उसकी ई-मेल ?
"
"Is she coming to college?
","वह कॉलेज के लिए आ रहा है?
"
"Daenerys of House Targaryen.
","Daenerys हाउस Targaryen की।
"
"Any problem? - What happened?
","- कोई दिक्कत?
"
"I ordered a full sealing.
","मैं एक पूर्ण सीलिंग का आदेश दिया.
"
"/ What are you doing?
","/ आप क्या कर रहे हैं?
"
"- You're a prick, Andy.
","- तुम एक चुभन, एंडी रहे हैं.
"
"He sends hookers to Peter
","वह पीटर करने के लिए भेजता है वेश्यांए
"
"Don't thank me yet.
","अभी तक मुझे धन्यवाद मत.
"
"Will Superman show up?
","सुपरमैन दिखाई देगा?
"
"And she was gone.
","और वह चला गया था।
"
"Cassander is Antipater's son.
","Cassander Antipater का बेटा है
"
"It comes back, the memory.
","यह स्मृति, वापस आता है.
"
"- No, you're not.
","-न, नहीं चलोगी।
"
"You don't remember nothing?
","तुम कुछ भी याद नहीं है?
"
"He's with his father.
","वह अपने पिता के साथ है.
"
"I brought my own.
","मैं अपने ही लाया.
"
"No, it's not that.
","नहीं , वो बात नहीं है .
"
"Hey uncle, what's up?
","अरे चाचा, क्या हो रहा है?
"
"Around when her dad died.
","के आसपास जब उसका पिता मर गया.
"
"A year alone, come on.
","अकेले एक साल, चलो!
"
"You're a northerner, aren't you?
","यदि आप एक उत्तरवासी कर रहे हैं, नहीं कर रहे हैं?
"
"If you can help me,
","क्या आप मेरी मदद कर सकते हैं,
"
"I always wanted a Chopper.
","मैं हमेशा से चॉपर चाहता था.
"
"I've got multiple scav kills.
","मैं कई SCAV मारता मिल गया है
"
"(SANDMAN BY KIRSTY MCGEE PLAYING)
","(Sandman Kirsty MCGEE खेल के द्वारा)
"
"After you master teaching.
","शिक्षण में महारत हासिल करने के बाद।
"
"What is your business then?
","आपके व्यापार तो क्या है?
"
"- It's not we, you.
","- यह है हम नहीं, तुम.
"
"it's light metals, which...
","यह प्रकाश धातुओं, जो ...
"
"- Sir, no sir!
","- सर, नहीं सर!
"
"[ TELEPHONE RINGS ]
","[टेलीफोन की घंटी बजती]
"
"I tell you? .?
","मैं तुम से कहता हूं.
"
"man speaking native language:
","पुरुष अपनी मातृभाषा में बोल रहा है:
"
"When my father died...
","जब मेरे पिता की मृत्यु हो ...
"
"[ MAN SIGHS ]
","[मैन आह]
"
"Walshy, my old mucker.
","खैर, मुझे लगता है हमें एक बड़ी मेज लेनी चाहिए, तब, हम करें।
"
"My son, my son...
","मेरे बेटे, मेरे बेटे ...
"
"We need to talk.
","हमें बात करनी है।
"
"If you're awake thank Yakul.
","यदि आप जाग Yakul के धन्यवाद कर रहे हैं.
"
"Now you sound like Philip.
","अब आप फिलिप तरह लगती हो.
"
"It goes by many names.
","इसके कई नाम हैं।
"
"There is nothing to do.
","कोई कुछ नहीं कर सकता है.
"
"He'll never answer to you.
","उन्होंने कहा कि आप का जवाब कभी नहीं होगा।
"
"I should have known.
","मुझे पता होना चाहिए था।
"
"I lost my Puddin'.
","मैं अपने puddin 'खो दिया है।
"
"- Let's find her.
","- चलो उसे ढूढते हैं.
"
"He ​​is my advisor.
","वह मेरे परामर्शदाता है.
"
"What were you doing there?
","तुम वहाँ क्या कर रहे थे?
"
"It's not like anything.
","-ये किसी चीज़ जैसा नहीं होता।
"
"You fucking lied to me.
","आप कमबख्त मुझसे झूठ बोला.
"
"Crime wave in Gotham.
","गोथम में अपराध की लहर।
"
"He drank and died.
","वह पिया और मर गया.
"
"He stopped right above us.
","वह सही हमारे ऊपर बंद कर दिया.
"
"[ ENGINE GRINDING, SQUEALING ]
","[इंजन पीस, चिल्ला]
"
"You took me for granted.
","आप प्रदान के लिए मुझे ले गया.
"
"My brother was no Vernian.
","यह मेरे पिता की नकल थी.
"
"Because my dad promised me.
","क्योंकि मेरे पापा ने मुझसे वादा किया था.
"
"We got into a fight...
","हम एक लड़ाई में मिला...
"
"- I found them.
","- मैं उन्हें मिल गया.
"
"Moving slowly toward the Endurance.
","धीरे से Endurance की तरफ बढ़ रहें हैं.
"
"- One must divide.
","समुद्र की शक्ति को मुक्त करने के लिए...
"
"They formed quite an attachment.
","एक-दूसरे से काफ़ी स्नेह करने लगे थे।
"
"And behind the door?
","और दरवाजा पीछे?
"
"Yeah, I'm right behind you.
","मैं ठीक तुम्हारे पीछे हूं।
"
"I'm talking to you.
","मैं आप से बात कर रहा हूँ.
"
"I see it right now.
","मैं अभी यह देखना है.
"
"- Understood it clearly.
","- बिल्कुल साफ़ तौर से समझा.
"
"- Who are you?
","- तुम कौन हो?
"
"( breathing heavily )
","(श्वास भारी)
"
"Unfortunately, it belongs to Walshy.
","- मुझे लगता है तुम्हें कोशिश करनी चाहिए...
"
"So what happened today?
","तो क्या आज क्या हुआ?
"
"So here we are.
","तो हम यहाँ हैं।
"
"It's a bloody business.
","यह एक खूनी व्यापार है।
"
"No, you're the joke, Vincent.
","- नहीं, मज़ाक तो तुम हो, विन्सेंट।
"
"Newborn will go mad.
","नवजात पागल हो जाऊँगा.
"
"- You have Babylon, Alexander.
","- तुम बाबुल, सिकंदर है.
"
"- ( Whimpers )
","- (Whimpers)
"
"So... how's the college life?
","तो... कॉलेज जीवन कैसा है?
"
"What does that mean?
","इसका क्या मतलब है?
"
"No, I didn't drug you.
","नहीं, तुम दवा, मैंने किया.
"
"What's all this noise?
","क्या यह सब शोर है?
"
"WHERE ARE YOU OFF TO?
","जहाँ आप बंद कर रहे हैं?
"
"- Don't stay up.
","- वहां ऊपर मत खड़े मत रहना .
"
"- Fucking Ziploc, my ass.
","- ज़िपलॉक जाए भाड़ में।
"
"- Then act like it.
","- तो फिर यह की तरह काम करते हैं.
"
"- Look who's back!
","~ देखो कौन वापस आ गया है ~!
"
"Stand up, come on.
","खड़े हो जाओ, चलो!
"
"- And see you later.
","- और आप बाद में देखते हैं।
"
"Let's go, fast. Fast.
","चलो चलते हैं, तेजी से करते हैं।
"
"Hostiles in the area.
","क्षेत्र में hostiles.
"
"I'm talking to you!
","मैं आप से बात कर रहा हूँ!
"
"Elias, this is a knife.
","एलियास, यह एक चाकू है.
"
"Please be a sex change.
","तुम शारीरिक बदलाव कर डालो.
"
"- Oh, fucking hell, Vincent!
","- ओह, बस करो, विन्सेंट!
"
"( OMINOUS MUSIC )
","(अशुभ संगीत)
"
"Earth, after the war.
",".. पृथ्वी,युद्धकेबाद
"
"No shots have been fired.
","कोई गोली नहीं चली है.
"
"Hello, she's coming sure, ah?
","हैलो, वो वास्तव में आ रही हैं, हाँ?
"
"Another day at the office.
","कार्यालय में एक और दिन.
"
"- Let me fight!
","- मुझे लड़ाई!
"
"Carlos says, ""Yo, man.
","कार्लोस यो, यार। / मैं कहते हैं, ""
"
"Hey, what are you doing?
","अरे तुम क्या कर रहे हो?
"
"- Come on, Scott!
","- चलो, स्कॉट!
"
"Thank you, Mr. Chairman.
","धन्यवाद, अध्यक्ष महोदय।
"
"This was my fathers collection.
","यह मेरा पिता संग्रह था।
"
"Who says such things, Sharmila?
","लोग ऐसी बातें, शर्मिला कहते हैं?
"
"Yes, I heard about it.
","हाँ, मैं इसके बारे में सुना.
"
"Solomon, today is your wedding.
","सालमन, आज तुम्हारी शादी है.
"
"Thank you for saying yes.
","हाँ कह के लिए धन्यवाद।
"
"- No, you don't.
","- नहीं , कभी नहीं .
"
"And where are they now?
","और... ...अब वे कहां हैं?
"
"You're late for your shift.
","आप अपनी पारी के लिए देर हो गई.
"
"We chased them away.
","हम उन्हें दूर पीछा किया.
"
"-Kid's got it, huh?
","-बच्चे ना, यह मिल गया है?
"
"That's an interesting question.
","यह एक दिलचस्प सवाल है.
"
"It's definitely not for me.
","यह निश्चित रूप से मेरे लिए नहीं है.
"
"Will you marry me?
","मुझसे शादी करोगी?
"
"Take out the limo!
","लीमो को उड़ा दो !
"
"Were we here for riches?
","हमधनके लिएयहाँआएथे ?
"
"- I just want it.
","- मैं सिर्फ यह चाहते हैं।
"
"On a piece of wood.
","ज्वार के खिलाफ...
"
"Open road, chasing sunsets.
","ओपन सड़क, पीछा सूर्यास्त.
"
"Besides, we've grown close.
","इसके अलावा, हम करीब हो गई है.
"
"They must clot that blood.
","वे कहते हैं कि खून का थक्का चाहिए।
"
"Stu, you're a dentist.
","छात्र, तुम एक दंत चिकित्सक हैं.
"
"Staci, you don't get paid.
","स्टेसी, तुम्हें वेतन नहीं मिलता।
"
"The girl is mine.
","लड़की मेरी है.
"
"Your glasses are fine, dick.
","अपना चश्मा ठीक है, डिक हैं.
"
"- Just stay here.
","- बस यहाँ रहें.
"
"What's going on here?
","यहाँ क्या हो रहा है?
"
"From eating all that garbage.
","कि सभी कचरा खाने से.
"
"I did everything you said.
","मैं सब कुछ किया था तुमने कहा था।
"
"We've heard of Master Oogway.
","गुरू ऊगवे का नाम सुना है।
"
"Slip in the shower?
","शॉवर में पर्ची?
"
"What if he kills himself?
","क्या होगा अगर वह खुद को मार ले?
"
"Look to the stars.
","सितारों को देखो.
"
"-Yeah, my ma died, too.
","- हाँ, मेरी मा भी मृत्यु हो गई।
"
"Glad to be here, Lois.
","यहां होना बहुत खुशी हुई, लोइस.
"
"They almost killed you, Ash!
","तुम तो बाल-बाल बचे!
"
"Cultures I don't understand.
","संस्कृतियों को मैं नहीं जानती.
"
"Like every day was Christmas.
","रोज ही एक समारोह जैसा था .
"
"Will you come on!
","तुम आओगे!
"
"You don't know, right?
","तुम नहीं जानते ना?
"
"This data makes no sense.
","इस जानकारी का कोई मतलब नहीं बनता.
"
"That never stopped you before!
","कि इससे पहले कि आप कभी नहीं बंद कर दिया!
"
"Did you get him?
","क्या तुम्हें मिल गया?
"
"Go with your father.
","अपने पिता के साथ जाओ।
"
"- Is this your card?
","- यह आपके कार्ड है?
"
"The jack or the king?
","जैक या राजा?
"
"You've burned the prince temple.
","आप राजकुमार मंदिर जला दिया है।
"
"I miss the Secret Service.
","मैं सीक्रेट सर्विस याद आती है.
"
"Wolf's a particle physicist.
","Wolf Edmunds एक particle physicist है .
"
"You wanted to say something.
","तुम कुछ कहना चाह रही थी.
"
"I think that is illegal.
","जो वे खरीद नहीं सकते।
"
"It forbids me to speak.
","बताने की मनाही है.
"
"Did you call the ambulance?
","तुमने ऐंबुलेंस को फोन किया?
"
"Dilation indicator, category 4.
","फैलाव सूचक, वर्ग 4.
"
"No, of course you have.
","नहीं, बिल्कुल तुम्हारे पास है.
"
"Take her to my room!
","मेरे कमरे में ले जाओ!
"
"Are you coming for me?
","तुम मेरे लिए आ रहे हैं?
"
"They shut the power down.
","वे बिजली बंद.
"
"They're in a meeting.
","वे किसी मीटिंग में हों।
"
"Get off the phone!
","फोन पर बात करना छोड़ो!
"
"It is monkey porn.
","यह बंदर अश्लील है.
"
"Are you my friend, Sorbonne?
","तुम मेरे दोस्त, सोरबोन हैं?
"
"Sundays I'm through at 1:00.
","रविवार को मैं 1: 00 बजे तक फ्री हो जाता हूँ.
"
"Subtitles Provided By Worldwide7477
","Worldwide7477 द्वारा प्रदान उपशीर्षक
"
"Bullshit, when can we go?
","बकवास है, जब हम जा सकते हैं?
"
"You're six foot four.
","आप छह फुट चार हो रहे हैं।
"
"Subtitles Provided By Worldwide7477
","Worldwide7477 द्वारा प्रदान उपशीर्षक
"
"Now, let's put it on.
","अब इसे पहन लो।
"
"What am I then for?
","फ़िर क्या मै यहाँ झक मार रहा हूँ?
"
"I mean, you're bright.
","मेरा मतलब है, तुम उज्ज्वल है.
"
"Aristotle was perhaps prescient.
","अरस्तू शायद पूर्वद्रष्टा था.
"
"[ CELLPHONE RINGS ]
","[सेलफोन के छल्ले]
"
"- Where are we going?
","- हम कहाँ जा रहे हैं?
"
"- I love you.
","~ मैं तुमसे प्यार ~.
"
"You're wasting your time.
","तुम अपना समय बर्बाद कर रहे हो।
"
"We gotta get out.
","हम बाहर जाना होगा.
"
"JUST FUCKING CHILL OUT.
","जस्ट चिल बाहर कमबख्त.
"
"I'll collect his courage.
","मैं उसके साहस इकट्ठा करेंगे.
"
"Sir, we're at DEFCON 1.
","हम डैफ़कॉन 1 पर हैं।
"
"Catelyn Stark would be proud.
","केटेलिन स्टार्क पर गर्व होगा।
"
"""Sweetheart I swear on you.""
","""जानेमन मैं तुम पर कसम खाता हूँ।""
"
"- You're coming with me.
","- तुम मेरे साथ आ रहे हो. - मैं?
"
"- I'll never rest easy
","- मैं आसानी से आराम कभी नहीं होगा
"
"- Who is it?
","- कौन है?
"
"Give me your hand.
","अपना हाथ देना.
"
"See what I mean?
","मैं क्या मतलब है?
"
"-l'm just feeding my pet.
","- L'm सिर्फ अपने पालतू खिला.
"
"For me it's a job.
","मेरे लिए यह एक काम है.
"
"WHY DID YOU KILL HIM?
","तुम उसे क्यों मारा?
"
"We have a deal.
","सौदा तय हुआ।
"
"It was right here, Jack.
","यह जैक, यहीं था.
"
"Move out of the way.
","/i हूँ रास्तेसेहट जाओ.
"
"And no-one else is here.
","अभी यहाँ कोई नहीं है.
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम nderएम@ nkÖÖ 
"
"- What do you mean?
","- तुम्हारा क्या मतलब है?
"
"It's not obedience, Mr. Becket.
","यह श्री बेकेट आज्ञाकारिता नहीं है.
"
"No, no, no, stop.
","नहीं, नहीं, नहीं, बंद करो!
"
"You took her hair.
","आप उसके बाल लिया.
"
"- None for her.
","- उसके लिए कुछ भी नहीं.
"
"-It's a rubber thumb.
",", यह एक रबर अंगूठे है.
"
"Pilot out of alignment.
","संरेखण के पायलट बाहर.
"
"What are you gonna do?
","आप क्या करने वाले है?
"
"Watch your step, will you?
","अपने कदम को देखो, क्या तुम?
"
"- It's just a tale.
","- यह सिर्फ एक कहानी है
"
"What be aye heading captain?
","कैप्टन कोर्स क्या होगा?
"
"Forbes, what are you doing?
","फोर्ब्स, तुम क्या कर रहे हो?
"
"I can promise you that.
","मैं आपको लगता है कि वादा कर सकते हैं.
"
"Place the gun back and-
","बंदूक वापस प्लेस and-
"
"What are you doing here?
","तुम यहाँ क्या कर रहे हो?
"
"No, he's not here.
","नहीं, वह यहाँ नहीं है.
"
"Where's that gunfire coming from?
","गोलियां कहाँ से आ रही हैं?
"
"Look to your right.
","अपने अधिकार के िलए देखो.
"
"Hey, yo. hey, yo!
","अरे, यो. हे, यो!
"
"You mustn't lie before God.
","तुम्हें भगवान के सामने झूठ नहीं बोलना चाहिए.
"
"Give me the dog.
","मेरे कुत्ते को दे.
"
"""So click my photo... beloved.""
","""तो मेरी तस्वीर पर क्लिक करें ... प्रिय""
"
"We might have a problem.
","हम एक समस्या हो सकता है।
"
"It's called Dasasvamedh Ghat.
","इसे दसास्वमेघ घाट कहा जाता है.
"
"You know what I'm thinking.
","तुम्हें पता है मैं क्या सोच रहा हूँ पता है.
"
"Simon, you're hurting me.
","साइमन, तुम मुझे आहत कर रहे हैं.
"
"No. Something is wrong.
","नहीं, कुछ गलत है.
"
"Next time, we should carpool.
","अगली बार, हम carpool चाहिए।
"
"Dr. Brand and Edmunds.
","Dr. Brand और Edmunds.
"
"- I like the hat.
","- मैं टोपी पसंद है.
"
"For you, for you.
","तुम्हारे लिए.
"
"Are you mad at me?
","तुम मुझसे नाराज़ हो ?
"
"Is it really matters.
","क्या यह वास्तव में मायने रखती है.
"
"""Every desire is incomplete.""
","""हर इच्छा अधूरी है।""
"
"He gave them to you!
","उसने तुम्हें दे दिया था!
"
"- What's your name?
","-तुमहरा नाम क्या है?
"
"Be careful out there.
","वहाँ सावधान रहें.
"
"Phase Two was drones.
","चरण दो ड्रोन था.
"
"Bring your ass back here.
","यहाँ वापस अपने गधे लाओ.
"
"That's the guy, that's him.
",", यह लड़का है कि वह है.
"
"[ BELL TOLLING ]
","[घंटी tolling]
"
"You disappointed me Lucas.
","You disappointed me Lucas.
"
"God, was not it amazing?
","भगवान आश्चर्यजनक नहीं था?
"
"I don't have that document.
","मुझे लगता है कि दस्तावेज की जरूरत नहीं है.
"
"Nice weather, and no extradition.
","अच्छा मौसम, और कोई प्रत्यर्पण.
"
"There's a ladies' room downstairs.
","नीचे एक लेडीज़ रूम है।
"
"- Where do we work?
","- हम कहाँ काम करते हो?
"
"We have to do something.
","हमें कुछ करना है!
"
"The hell you say!
","क्या कहते हो!
"
"- You know what?
","- पता है?
"
"And he won't get mine.
","और वह मेरा नहीं मिलेगा.
"
"Yeah, it's pretty cool.
","हाँ, बहुत मस्त है।
"
"She had a mouth.
","वह एक मुँह था।
"
"Damn your sorceress soul!
","अपने जादूगरनी आत्मा लानत है!
"
"- Where is he?
","वह कहाँ है?
"
"- You insult me, Cleitus.
","- तुम, क्लीटस मेरा अपमान.
"
"-This is your problem.
","मैं तुम्हारे लिए कुछ खाना है.
"
"- Don't talk, sit here.
","-बातें मत करो,बैठो यहां.
"
"No, no, they are capitalists.
","नहीं, नहीं, वे पूंजीवादी हैं
"
"Have your tech stand down.
","अपनीतकनीकनीचेखड़ेहै.
"
"Couldn't it have waited?
","मेरा इंतजार नहीं कर सका?
"
"Kaikeyi's son was Bharat
","है Kaikeyi पुत्र भरत था
"
"- Wait, wait, wait.
","- रुको, रुको, रुको.
"
"Hope you don't catch him.
","आप उसे पकड़ नहीं है उम्मीद है।
"
"You, me, the ocean.
","तुम, मुझे, सागर.
"
"I think after last week...
","मैं पिछले सप्ताह के बाद लगता है...
"
"Smile for the camera.
","फ़ोटो खिंचवाने के लिए मुस्कुराओ।
"
"Zeus is your father.
","ज़ीउस अपने पिता है
"
"What should they do?
","वे क्या करना चाहिए?
"
"Drop the sensor. TREVOR: What?
","लेफ्टिनेंट बिजली को आकर्षित कर रहा है!
"
"Get in the fucking hole.
","साले छेद में चली जा।
"
"Hey, how's it going?
","अरे, यह कैसे हो रहा है?
"
"You put away almost nothing.
","तुम लगभग कुछ भी नहीं दूर रखा.
"
"Can you hold out?
","तुम बाहर पकड़ कर सकते हैं?
"
"Ender, no one is embarrassed.
","एंडर, कोई शर्िमंदा नहीं है।
"
"Bring a 5 franc piece.
",".. 5 francs लेते आना
"
"The chocolate is for Mom.
","चॉकलेट माँ के लिए है.
"
"- ( choking )
","वाह! - (घुट)
"
"- what's going on?
","- क्या हो रहा है?
"
"No, I do not want.
","नहीं, मैं नहीं चाहती.
"
"You know what that means?
","आप इसका क्या मतलब पता है?
"
"- I don't know general.
","- मैं सामान्य नहीं जानता.
"
"We got them now.
","अब हम उन्हें पछाड़ रहे हैं।
"
"You're out of the band.
","तुम बैंड से बाहर हैं.
"
"Aw, hell, change that.
","अरे, नरक, कि बदलते हैं.
"
